subject_id,subject_name,professor,user_major,wishlist_actions,timetable_actions,unique_users
11341,자기설계세미나 I,남상욱,일본지역문화학과,2,3,5
11372,문화예술의이해,조성주,불어불문학과,1,4,5
11398,고전과삶,김정경,국어국문학과,2,5,5
11402,자기설계세미나 I,김정경,국어국문학과,3,5,5
11405,한국문학의이해,정우경,국어국문학과,3,4,5
11423,고전시가의이해,배은희,국어국문학과,1,5,5
11425,한국문학과세계문학,장영은,국어국문학과,0,5,5
11438,한국어와정보기술,안소진,국어국문학과,2,3,5
11449,중급독일어회화 A2 1,미하엘멩케,독어독문학과,0,5,5
11451,독일산문,권혁준,독어독문학과,0,5,5
11452,독일어구문과표현,박은주,독어독문학과,1,4,5
