subject_id,course_code,semester,active,subject_name,professor,department,grade,subject_type,class_method,credits,is_night,wishlist_count,wishlist_user_count,required_count,avg_wishlist_priority,timetable_count,timetable_user_count,combined_user_count,total_saved_actions,first_wishlist_at,last_wishlist_at,first_timetable_at,last_timetable_at
11683,,,True,AI시대의글쓰기이론과실제,양현진,운동건강학부,1.0,기교,OFFLINE,2,False,1,1,0,3.0,0,0,1,1,2026-02-03 09:15:19.132544,2026-02-03 09:15:19.132544,,
11684,,,True,AI시대의글쓰기이론과실제,김지영,국어교육과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-02 15:05:20.821471,2026-02-02 15:05:20.821471
11687,,,True,AI시대의글쓰기이론과실제,김지영,수학교육과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-04 08:45:35.194071,2026-02-04 08:45:35.194071
11703,,,True,AI시대의글쓰기이론과실제,박상원,수학교육과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-03 19:48:01.927303,2026-02-03 19:48:01.927303
11706,,,True,AI시대의글쓰기이론과실제,박상원,역사교육과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-08 14:57:38.213259,2026-02-08 14:57:38.213259
11710,,,True,AI시대의글쓰기이론과실제,장고은,일어교육과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-02 17:38:52.287248,2026-02-02 17:38:52.287248
11711,,,True,AI시대의글쓰기이론과실제,장고은,수학교육과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-02 13:26:40.528054,2026-02-02 13:26:40.528054
11721,,,True,AI시대의글쓰기이론과실제,박보연,도시건축학부,1.0,기교,OFFLINE,2,False,1,1,0,3.0,0,0,1,1,2026-02-03 10:18:19.486305,2026-02-03 10:18:19.486305,,
11722,,,True,AI시대의글쓰기이론과실제,이태희,도시환경공학부,1.0,기교,OFFLINE,2,False,1,1,0,3.0,0,0,1,1,2026-02-03 08:54:16.311047,2026-02-03 08:54:16.311047,,
11723,,,True,AI시대의글쓰기이론과실제,이태희,도시건축학부,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-02 07:39:34.776555,2026-02-02 07:39:34.776555
11729,,,True,AI시대의글쓰기이론과실제,김미향,자유전공학부,1.0,기교,OFFLINE,2,False,1,1,0,3.0,0,0,1,1,2026-02-04 11:37:09.481408,2026-02-04 11:37:09.481408,,
11733,,,True,AI시대의글쓰기이론과실제,양근용,무역학부(야),1.0,기교,OFFLINE,2,True,1,1,1,3.0,0,0,1,1,2026-02-04 09:08:46.341956,2026-02-04 09:08:46.341956,,
11737,,,True,AI시대의글쓰기이론과실제,양근용,컴퓨터공학부,1.0,기교,OFFLINE,2,True,0,0,0,,1,1,1,1,,,2026-02-04 03:19:02.356558,2026-02-04 03:19:02.356558
11739,,,True,AI사고와데이터리터러시,이경숙,영어영문학과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-07 08:09:26.119712,2026-02-07 08:09:26.119712
11743,,,True,AI사고와데이터리터러시,이경숙,불어불문학과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-03 09:04:43.647434,2026-02-03 09:04:43.647434
11756,,,True,AI사고와데이터리터러시,염귀덕,미디어커뮤니케이션학과,1.0,기교,OFFLINE,2,False,1,1,0,3.0,0,0,1,1,2026-02-04 04:51:40.613411,2026-02-04 04:51:40.613411,,
11759,,,True,AI사고와데이터리터러시,이선아,공연예술학과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-03 04:43:50.272970,2026-02-03 04:43:50.272970
11764,,,True,AI사고와데이터리터러시,김영직,스포츠과학부,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-06 02:11:12.649493,2026-02-06 02:11:12.649493
11768,,,True,AI사고와데이터리터러시,김백현,국어교육과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-02 07:51:39.759458,2026-02-02 07:51:39.759458
11772,,,True,AI사고와데이터리터러시,김종탁,영어교육과,1.0,기교,OFFLINE,2,False,1,1,0,3.0,0,0,1,1,2026-02-03 00:38:06.006264,2026-02-03 00:38:06.006264,,
11775,,,True,AI사고와데이터리터러시,김백현,역사교육과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-04 06:16:45.600599,2026-02-04 06:16:45.600599
11780,,,True,AI사고와데이터리터러시,김종탁,동북아국제통상전공,1.0,기교,OFFLINE,2,False,1,1,0,3.0,0,0,1,1,2026-02-03 00:37:55.429037,2026-02-03 00:37:55.429037,,
11781,,,True,AI사고와데이터리터러시,김영직,운동건강학부,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-04 01:24:17.392058,2026-02-04 01:24:17.392058
11783,,,True,대학수학(1),이윤복,독어독문학과,1.0,기교,OFFLINE,3,False,1,1,0,3.0,0,0,1,1,2026-02-03 08:23:00.282686,2026-02-03 08:23:00.282686,,
11785,,,True,대학수학(1),이윤복,중국학과,1.0,기교,OFFLINE,3,False,1,1,0,3.0,0,0,1,1,2026-02-03 08:23:07.050647,2026-02-03 08:23:07.050647,,
